time,crossing_fraction,causal_reach,mdot_hat,mdot_proxy_fraction,Ftotal1H_x,Ftotal1H_y,Ftotal1H_z,delta_Ftotal1_parallel,Ftotal2H_x,Ftotal2H_y,Ftotal2H_z,delta_Ftotal2_parallel,Ftotal3H_x,Ftotal3H_y,Ftotal3H_z,delta_Ftotal3_parallel,closure21,closure32
0.0,0.0,0.0,44.1332,0.0022273709555011853,42.40531,17.669769,-3.57980242,0.0,77.62051,49.204869,-2.90755242,0.0,150.76441,103.43066900000001,-2.88220242,0.0,0.5141582158645942,0.49794526217192364
5.03425,0.0011928183038665248,0.39248640299593174,42.5264,0.0021462769117586216,36.04392,21.140428999999997,-3.3519755,2.942385510624625,71.87201999999999,48.864629,-3.0593454999999996,4.771382050469503,143.84312,104.138629,-3.4812754999999997,5.064921927124464,0.5209420191257047,0.5109204371178029
10.0685,0.0023856366077330497,0.7849728059918635,53.2506,0.002687519595293598,35.63691,26.08288399,-1.242977,0.26473327951072856,71.81121,53.62848399,-1.431677,1.9266461454872097,143.75141,109.07948399,-1.614217,2.1375024610626134,0.507246532842554,0.5033325418060483
15.1027,0.0035784430645686973,1.1774553108261725,110.612,0.005582508318678389,34.02668,28.03161,-0.19796599999999998,0.3605339274686601,70.02808,55.67451,-0.29377699999999995,2.1007454072047986,142.00377999999998,111.06201,-0.446897,2.3220510462861648,0.5073577837489683,0.5037792251202232
20.137,0.004771273215466099,1.569945611983727,232.768,0.011747634039002381,24.589100000000002,21.560699999999997,-2.123313,11.784936605454401,60.654599999999995,49.1866,-2.228793,13.484565053605474,132.6431,104.58619999999999,-2.381933,13.688351947600724,0.5815209121164281,0.5377162838162245
25.1712,0.005964079672301747,1.9624281168180358,329.734,0.016641438523407045,20.512199999999996,10.910900000000002,-0.817423,21.497265149602033,56.5877,38.5757,-0.926124,23.16530446018733,128.5892,93.9868,-1.079284,23.351778471142467,0.6637596571455685,0.5704133836015881
30.2055,0.007156909823199149,2.3549184179755906,312.552,0.01577427530484548,24.2275,18.896499999999996,-0.227354,13.69422753268724,60.3439,46.596399999999996,-0.3314805,15.308461707863897,132.3579,102.02,-0.48466200000000004,15.477412078271689,0.596997651552957,0.5437771907835611
35.2397,0.008349716280034796,2.7474009228098994,342.282,0.017274727085071027,23.694300000000002,17.9916,-0.304558,14.667517737402576,59.8387,45.7149,-0.410742,16.245291817794268,131.8657,101.1499,-0.563944,16.396990084383038,0.6049119208931317,0.546892235203887
40.274,0.009542546430932199,3.139891223967454,378.735,0.019114483854144756,22.0203,16.672400000000003,0.2589053,16.799478517478754,58.1903,44.4192,0.15268400000000001,18.34264057156024,130.2305,99.86619999999999,-0.0005390000000000117,18.476563235957894,0.6227160428244017,0.5539310023246544
50.3425,0.011928183038665248,3.9248640299593176,452.312,0.022827862281109283,18.735300000000002,13.818500000000004,0.30496,21.14272949367857,54.9563,41.6125,0.1986639,22.616704752682168,127.0218,97.0835,0.045399999999999996,22.715949712181228,0.6623202953088172,0.5688364253882021
55.3767,0.013120989495500897,4.317346534793626,488.933,0.024676097889707996,17.445999999999998,12.199200000000005,0.04418799999999998,23.150366686803828,53.692499999999995,40.0167,-0.062145000000000006,24.589809328991883,125.7708,95.4995,-0.2154296,24.671717882269956,0.6823126648042213,0.5759878794836993
